Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning],What is your expectation from attending this class?,What is your best favorite category to purchase online?,What is your second favorite category to purchase online?,What is you third favorite category to purchase online?
6/30/2020 21:06:41,,,You don't need to know,No Background,No Background,,,,
7/1/2020 15:21:41,Mr.,23,Singapore,Have used in a project,No Background,to gain skills,Men's Wear,Hobbies & Books,Computers & Peripherals
7/1/2020 15:38:09,Ms.,25,Taiwai,Have studied,No Background,get the knowledge about data science,Beauty & Personal Care,Women's Apparel,Food & Beverages
7/1/2020 15:38:59,Mr.,18,Singapore,No Background,No Background,Able to understand python,Computers & Peripherals,Mobile & Gadgets,Video Games
7/1/2020 15:41:46,Ms.,40,Malaysia,No Background,No Background,Clear about the role,Food & Beverages,Video Games,Jewellery & Accessories
7/1/2020 15:47:54,Mr.,23,Singapore,Have studied,Have studied,Learn more about python and machine learning,Food & Beverages,Video Games,Men's Wear
7/1/2020 16:00:57,Ms.,22,Taiwan,Have studied,No Background,Learn more useful functions in Python.,Hobbies & Books,Beauty & Personal Care,Food & Beverages
7/1/2020 16:09:39,Mr.,21,Singapore,Have studied,No Background,More experience in machine learning using python,Hobbies & Books,Mobile & Gadgets,Food & Beverages
7/1/2020 16:10:44,Mr.,22,Indonesia,Have studied,Have studied,Skillup for python,Hobbies & Books,Computers & Peripherals,Mobile & Gadgets
7/1/2020 16:11:12,Mr.,19,Philippines,No Background,No Background,Basics and Fundamentals of Python,Computers & Peripherals,Video Games,Mobile & Gadgets
7/1/2020 16:29:04,Mr.,26,Singapore,No Background,No Background,To get a preliminary understanding of Python and its use in Data Science (e.g. Why particularly Python over other programming languages that makes it so special for data science and ML?),Food & Beverages,Video Games,Watches
7/1/2020 16:40:42,Mr.,16,Singapore,Have studied,Have studied,To learn more,Computers & Peripherals,Mobile & Gadgets,Food & Beverages
7/1/2020 16:54:51,Mr.,29,Thailand,Have studied,No Background,Some knowledge,Video Games,Hobbies & Books,Computers & Peripherals
7/1/2020 16:59:52,Mr.,40,Singapore PR,Have studied,Have studied,Prepare for Shopee competition,Food & Beverages,Men's Wear,Mobile & Gadgets
7/1/2020 17:16:03,Ms.,23,Singapore,No Background,No Background,To learn basic python,Mobile & Gadgets,Beauty & Personal Care,Food & Beverages
7/1/2020 17:16:27,Mr.,19,Indonesia,Have used in a project,Have studied,Know more with Machine Learning,Computers & Peripherals,Mobile & Gadgets,Hobbies & Books
7/1/2020 17:18:40,Mr.,19,Indonesia,Have studied,Have studied,I want to influence my self and learn something different from my class at university.,Mobile & Gadgets,Men's Wear,Computers & Peripherals
7/1/2020 17:27:49,Mr.,25,Singapore,Have studied,Have studied,To learn and reinforce fundamentals,Computers & Peripherals,Mobile & Gadgets,Food & Beverages
7/1/2020 17:28:17,Ms.,19,Indonesia,"Have studied, Have used in a project","Have studied, Have used in a project",I will be able to master Python for Data Science since I am eagerly to learn it to do some projects given by my college and I hope I can learn it furthermore to make it as part of my career in the future,Computers & Peripherals,Jewellery & Accessories,Mobile & Gadgets
7/1/2020 17:36:06,Ms.,23,Singapore,Have studied,No Background,Learn more python,Hobbies & Books,Beauty & Personal Care,Computers & Peripherals
7/1/2020 17:40:51,Mr.,45,Singapore,No Background,No Background,To learn more abt python,Food & Beverages,Mobile & Gadgets,Hobbies & Books
7/1/2020 17:41:26,Ms.,20,Singapore,Have studied,No Background,-,Food & Beverages,Beauty & Personal Care,Mobile & Gadgets
7/1/2020 17:44:02,Ms.,22,Singapore,Have studied,No Background,Learn,Jewellery & Accessories,Mobile & Gadgets,Women's Apparel
7/1/2020 17:45:12,Ms.,21,Singapore,No Background,No Background,Learn and apply,Jewellery & Accessories,Hobbies & Books,Food & Beverages
7/1/2020 17:49:24,Mr.,23,Singapore,Have studied,No Background,Learn,Computers & Peripherals,Hobbies & Books,Mobile & Gadgets
7/1/2020 17:56:15,Mr.,18,Philippines,Have studied,Have studied,A beginner-friendly Data Science class.,Mobile & Gadgets,Food & Beverages,Men's Wear
7/1/2020 17:57:01,Ms.,18,Indonesia,Have used in a project,Have used in a project,Learn more about python,Mobile & Gadgets,Computers & Peripherals,Food & Beverages
7/1/2020 17:58:28,Ms.,19,Philippines,No Background,No Background,Will have a general overview about Python and its uses.,Beauty & Personal Care,Food & Beverages,Computers & Peripherals
7/1/2020 18:02:02,Ms.,20,Indonesia,Have studied,Have studied,to gain knowledge regarding the given theme and apply it for future study or projects.,Mobile & Gadgets,Beauty & Personal Care,Hobbies & Books
7/1/2020 18:02:21,Mr.,20,Philippines,No Background,No Background,I will learn,Mobile & Gadgets,Video Games,Men's Wear
7/1/2020 18:04:49,Ms.,20,Malaysia,Have studied,No Background,know how to code with python for machine learning,Food & Beverages,Women's Apparel,Mobile & Gadgets
7/1/2020 18:13:50,Ms.,22,Singapore,No Background,No Background,Basic introduction of python and ML,Beauty & Personal Care,Women's Apparel,Jewellery & Accessories
7/1/2020 18:16:49,Ms.,23,Malaysia,No Background,No Background,I can familiar with Python,Hobbies & Books,Mobile & Gadgets,Beauty & Personal Care
7/1/2020 18:34:49,Ms.,26,Singapore,Have studied,No Background,To improve my knowledge about Python since I am still at beginner level.,Hobbies & Books,Beauty & Personal Care,Women's Apparel
7/1/2020 18:41:41,Mr.,37,Malaysia,Have studied,Have studied,learn the tensorflow/keras command and preprare data for training,Computers & Peripherals,Hobbies & Books,Men's Wear
7/1/2020 18:42:59,Mr.,38,Malaysia,Have used in a project,Have used in a project,.,Computers & Peripherals,Mobile & Gadgets,Video Games
7/1/2020 19:03:06,Mr.,21,Singapore,Have studied,No Background,"Not basic syntax, but will learn something new",Video Games,Hobbies & Books,Computers & Peripherals
7/1/2020 19:18:19,Ms.,19,Malaysia,Have studied,No Background,Understand Data Science coding using Python,Women's Apparel,Jewellery & Accessories,Beauty & Personal Care
7/1/2020 19:18:26,Ms.,21,Indonesia,Have studied,No Background,Pro,Hobbies & Books,Beauty & Personal Care,Watches
7/1/2020 19:22:56,Ms.,22,Indonesia,Have studied,Have studied,Practice coding in Python,Beauty & Personal Care,Women's Apparel,Hobbies & Books
7/1/2020 19:32:33,Ms.,19,Indonesia,Have studied,No Background,i can understand more about python,Beauty & Personal Care,Women's Apparel,Food & Beverages
