Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning], What is your expectation from attending this class?,What is your best favorite category to purchase online?, What is your second favorite category to purchase online?, What is you third favorite category to purchase online?
7/1/2020 15:24:14,Mr.,23,Singapore,Have used in a project,No Background,to gain skills,Men's Wear,Food & Beverages,Computers & Peripherals
7/1/2020 15:49:02,Mr.,23,Singapore,Have studied,Have studied,Learn more about pandas and numpy,Food & Beverages,Video Games,Men's Wear
7/1/2020 16:11:48,Mr.,22,Indonesia,Have studied,Have studied,Skillup in pandas,Hobbies & Books,Computers & Peripherals,Mobile & Gadgets
7/1/2020 16:59:20,Mr.,29,Thailand,Have studied,No Background,Some knowledge,Video Games,Hobbies & Books,Computers & Peripherals
7/1/2020 17:13:08,Mr.,22,Singapore,"Have studied, Have used in a project","Have studied, Have used in a project",Understand more about Numpy and Pandas,Mobile & Gadgets,Hobbies & Books,Computers & Peripherals
7/1/2020 17:07:15,Mr.,19,Philippines,No Background,No Background,More lessons about python,Computers & Peripherals,Mobile & Gadgets,Video Games
7/1/2020 17:17:25,Ms.,23,Singapore,No Background,No Background,To learn more about python after attending the first python class.,Mobile & Gadgets,Beauty & Personal Care,Food & Beverages
7/1/2020 17:18:04,Mr.,19,Indonesia,Have used in a project,Have studied,Know more with Machine Learning,Computers & Peripherals,Mobile & Gadgets,Hobbies & Books
7/1/2020 17:23:08,Mr.,19,Indonesia,Have studied,Have studied,I want to improve my self and develop my programming skill especially Python further,Mobile & Gadgets,Men's Wear,Computers & Peripherals
7/1/2020 17:26:44,Mr.,25,Singapore,Have studied,Have studied,To learn and reinforce fundamentals ,Computers & Peripherals,Mobile & Gadgets,Food & Beverages
7/1/2020 17:28:48,Mr.,23,Singapore,Have used in a project,Have studied,Would like to understand more about machine learning ,Mobile & Gadgets,Computers & Peripherals,Food & Beverages
7/1/2020 17:31:42,Ms.,19,Indonesia,"Have studied, Have used in a project","Have studied, Have used in a project",I could Upgrade my skill in Data science with Python since I am a totally beginner in it so that I can strengthen my basic in it. ,Computers & Peripherals,Jewellery & Accessories,Mobile & Gadgets
7/1/2020 17:40:57,Ms.,20,Singapore,Have studied,No Background,-,Food & Beverages,Beauty & Personal Care,Mobile & Gadgets
7/1/2020 17:43:29,Mr.,45,Singapore,No Background,No Background,More in-depth of python after part 1,Food & Beverages,Mobile & Gadgets,Hobbies & Books
7/1/2020 17:47:41,Ms.,22,Singapore,"No Background, Have studied",No Background,Learn,Jewellery & Accessories,Hobbies & Books,Women's Apparel
7/1/2020 17:48:24,Ms.,21,Singapore,No Background,No Background,Learn and apply,Jewellery & Accessories,Hobbies & Books,Food & Beverages
7/1/2020 18:00:30,Mr.,18,Philippines,Have studied,Have studied,Tips and tricks,Food & Beverages,Men's Wear,Mobile & Gadgets
7/1/2020 18:01:21,Ms.,19,Philippines,No Background,No Background,I will learn about Python.,Beauty & Personal Care,Food & Beverages,Computers & Peripherals
7/1/2020 18:05:56,Ms.,20,Malaysia,No Background,No Background,gain more information on python,Food & Beverages,Women's Apparel,Mobile & Gadgets
7/1/2020 18:06:03,Mr.,20,Philippines,No Background,No Background,I will learn,Mobile & Gadgets,Video Games,Men's Wear
7/1/2020 18:23:12,Ms.,23,Malaysia,No Background,No Background,I can familiar with Python,Hobbies & Books,Mobile & Gadgets,Beauty & Personal Care
7/1/2020 18:38:52,Ms.,26,Singapore,Have studied,No Background,To improve my Python knowledge. ,Hobbies & Books,Beauty & Personal Care,Women's Apparel
7/1/2020 18:44:17,Ms.,24,Singapore,Have studied,No Background,Learning more about Numpy,Beauty & Personal Care,Jewellery & Accessories,Food & Beverages
7/1/2020 18:44:32,Mr.,37,Malaysia,Have studied,Have studied,data science advance like how different layer of neural network works,Computers & Peripherals,Hobbies & Books,Men's Wear
7/1/2020 18:45:14,Mr.,38,Malaysia,Have used in a project,Have used in a project,.,Computers & Peripherals,Video Games,Food & Beverages
7/1/2020 19:04:42,Mr.,21,Singapore,Have used in a project,No Background,Learning something that can get me started on NLP,Video Games,Hobbies & Books,Computers & Peripherals
7/1/2020 19:23:34,Ms.,19,Malaysia,Have studied,No Background,Understand Data Science,Women's Apparel,Beauty & Personal Care,Mobile & Gadgets
7/1/2020 19:25:23,Ms.,22,Indonesia,Have studied,Have studied,Practice using function in pandas and numpy,Beauty & Personal Care,Women's Apparel,Hobbies & Books
7/1/2020 20:26:05,Mr.,22,Singapore,Have used in a project,Have used in a project,Learn about DS,Men's Wear,Hobbies & Books,Mobile & Gadgets
7/1/2020 20:33:34,Mr.,19,Indonesia,Have studied,No Background,Being able to implement what I've learned in the class to small projects or as a foundation for future learning,Video Games,Computers & Peripherals,Hobbies & Books
7/1/2020 20:39:19,Mr.,29,Singapore,Have studied,No Background,Learn more about numpy,Computers & Peripherals,Mobile & Gadgets,Food & Beverages
7/1/2020 20:51:30,Ms.,21,Singapore,No Background,No Background,NIL,Hobbies & Books,Beauty & Personal Care,Women's Apparel
7/1/2020 20:58:15,Mr.,44,Singapore,Regularly use at work,Regularly use at work,Learn more data science use cases,Mobile & Gadgets,Hobbies & Books,Computers & Peripherals
7/1/2020 21:06:57,Mr.,21,Singapore,Have used in a project,No Background,Python Refresher,Mobile & Gadgets,Video Games,Computers & Peripherals
7/1/2020 21:39:25,Ms.,22,Taiwan,Have studied,Have studied,can use python in a project,Video Games,Beauty & Personal Care,Computers & Peripherals
7/1/2020 21:48:38,Mr.,24,Singapore,Have studied,No Background,Understand the basic of using Pandas and Numpy,Mobile & Gadgets,Men's Wear,Watches
7/1/2020 21:50:47,Ms.,20,Malaysia,"No Background, Have used in a project",No Background,Learning numpy! ,Hobbies & Books,Jewellery & Accessories,Women's Apparel
7/1/2020 22:23:14,Mr.,20,Singapore,Have studied,Have studied,Improve my knowledge on data science,Computers & Peripherals,Mobile & Gadgets,Hobbies & Books
7/1/2020 22:28:08,Ms.,20,Malaysia,Have studied,Have studied,Understand data science better ,Mobile & Gadgets,Beauty & Personal Care,Computers & Peripherals
7/1/2020 22:38:53,Ms.,24,Malaysia,No Background,No Background,have a concept on python language and machine learning,Food & Beverages,Women's Apparel,Beauty & Personal Care
7/1/2020 22:40:56,Mr.,19,Indonesia,Have used in a project,Have studied,I can improve my skill,Computers & Peripherals,Food & Beverages,Mobile & Gadgets
7/1/2020 23:05:43,Mr.,28,Singapore,Have studied,No Background,Upskill python,Food & Beverages,Men's Wear,Mobile & Gadgets
7/1/2020 23:33:53,Mr.,17,Indonesia,Have used in a project,Have studied,Mastering Python even more,Food & Beverages,Mobile & Gadgets,Computers & Peripherals
7/2/2020 1:47:46,Mr.,22,Thailand,Have used in a project,Have used in a project,Knowledge,Computers & Peripherals,Beauty & Personal Care,Food & Beverages
7/2/2020 7:16:55,Mr.,28,Indonesia,Have used in a project,Have used in a project,knowing the material,Computers & Peripherals,Video Games,Mobile & Gadgets
7/2/2020 7:42:46,Mr.,30,Malaysia,Have used in a project,Have used in a project,solving real world problems,Computers & Peripherals,Beauty & Personal Care,Men's Wear
7/2/2020 9:17:23,Ms.,21,China,Have studied,No Background,learning python,Women's Apparel,Hobbies & Books,Food & Beverages
7/2/2020 9:44:10,Mr.,19,Singapore,No Background,No Background,To learn more about python and machine learning,Food & Beverages,Hobbies & Books,Mobile & Gadgets
7/2/2020 9:45:19,Ms.,19,Malaysia,Have studied,No Background,Become more familiar with Python ,Women's Apparel,Hobbies & Books,Jewellery & Accessories
7/2/2020 10:43:45,Mr.,22,Malaysia,Have studied,No Background,Learning ,Beauty & Personal Care,Computers & Peripherals,Food & Beverages
7/2/2020 11:01:18,Mr.,23,Indonesia,Have studied,No Background,I will increase my data science skill after attending module 1 and this course,Food & Beverages,Mobile & Gadgets,Video Games
7/2/2020 11:06:52,Ms.,20,Malaysia,Have studied,No Background,Learn more about bot,Food & Beverages,Women's Apparel,Hobbies & Books
7/2/2020 11:09:36,Ms.,16,Singapore,Have used in a project,No Background,to learn about python use in data science,Beauty & Personal Care,Women's Apparel,Hobbies & Books
7/2/2020 11:12:46,Mr.,20,Taiwan,Have studied,No Background,Learn more about data science knowledge,Food & Beverages,Computers & Peripherals,Video Games
7/2/2020 12:02:52,Mr.,17,Malaysia,Regularly use at work,Have used in a project,To learn the practical use of data science and machine learning,Food & Beverages,Video Games,Mobile & Gadgets
7/2/2020 12:37:23,Mr.,18,Vietnam,Have studied,Have studied,I expect to fully understand the materials related.,Video Games,Computers & Peripherals,Food & Beverages
7/2/2020 12:38:36,Mr.,18,Vietnam,Have studied,Have studied,I expect to fully understand the materials related.,Video Games,Computers & Peripherals,Food & Beverages
7/2/2020 12:46:11,Ms.,20,Singapore,Have studied,No Background,Gain better understanding in the use of pandas and numpy in python for data sci,Women's Apparel,Food & Beverages,Jewellery & Accessories
7/2/2020 13:04:24,Ms.,27,Indonesia,No Background,No Background,To learn data science.,Beauty & Personal Care,Computers & Peripherals,Mobile & Gadgets
7/2/2020 13:31:20,Mr.,19,Indonesia,Have studied,Have studied,"learn and gain experience
about python and machine learning",Computers & Peripherals,Mobile & Gadgets,Food & Beverages
