Unnamed: 0,message_id,timestamp,agent,buyer_userid,conversation_id,shopid,Date,is_buyer,is_seller,content,conversation_status,photo_img,order_time
0,1,2020-04-04 11:20:48,NO AGENT,B898484520,C100307556080880867,S1076522480,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P76540photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 10:54:01
1,2,2020-04-04 19:59:30,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1232482photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 18:10:07
2,3,2020-04-04 19:59:37,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:10:07
3,4,2020-04-04 19:59:37,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:10:07
4,5,2020-04-04 19:59:47,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:10:07
5,6,2020-04-04 19:59:47,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:10:07
6,7,2020-04-04 19:59:56,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:10:07
7,8,2020-04-04 19:59:56,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:10:07
8,9,2020-04-04 19:59:59,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:10:07
9,10,2020-04-04 19:59:59,NO AGENT,B899050240,C102737304979573987,S1076522480,2020-04-04,True,False,Some Random Text,normal,NO IMG,2020-04-04 18:10:07
10,11,2020-04-04 14:10:20,NO AGENT,B899186193,C103321218668367075,S1076522480,2020-04-04,True,False,Some Random Text,normal,"<img class=""gb_4b"" src=""www.shopeeprod.com/pid=P1906879photo.jpg"" alt="""" aria-hidden=""true"" data-atf=""0"">",2020-04-04 13:54:44
